feature,importance
time_trend,0.649945
bleaching_earth_dosing_pct,0.155058
log_feed_p_ppm,0.034394
feed_car_pv,0.03071
feed_p_ppm,0.029474
feed_iv,0.024268
feed_ffa_pct,0.014653
feed_dobi,0.01465
log_feed_ffa_pct,0.012461
feed_mi_pct,0.010268
acid_dosing_pct,0.00959
missing_transition_phase,0.004264
month_4,0.002365
feed_tank_TK3,0.002111
month_6,0.001198
month_11,0.001151
feed_tank_NT3,0.000764
month_10,0.000523
month_7,0.000488
month_3,0.000439
month_2,0.000435
month_5,0.000416
month_8,0.000215
month_12,0.000126
feed_tank_TK4,3.4e-05
feed_tank_TK4/TK6,0.0
feed_tank_TK3/NT1/TK4,0.0
feed_tank_TK4/TK3,0.0
feed_tank_TK3/TK4,0.0
feed_tank_TK3/NT3/TK3,0.0
feed_tank_TK3/NT3,0.0
feed_tank_TK3/NT2/TK3/NT3,0.0
feed_tank_TK3/NT2/TK3,0.0
feed_tank_TK3/NT2,0.0
feed_tank_TK3/NT1,0.0
month_9,0.0
feed_tank_NT3/TK3,0.0
feed_tank_NT3/NT1/NT2,0.0
feed_tank_NT3/NT1,0.0
feed_tank_NT2/TK3,0.0
feed_tank_NT2/NT3,0.0
feed_tank_NT2,0.0
feed_tank_NT1/NT3,0.0
feed_tank_NT1/NT2,0.0
feed_type_CPO,0.0
