rank,features,n_features,cv_rmse,best_n_estimators,best_max_depth
1,feed_iv + feed_mi_pct + log_feed_ffa_pct + log_feed_p_ppm,4,0.718627,200,5
2,feed_ffa_pct + feed_iv + feed_mi_pct + feed_p_ppm,4,0.719216,200,5
3,feed_ffa_pct + feed_iv + feed_mi_pct + log_feed_p_ppm,4,0.719259,300,5
4,feed_iv + feed_mi_pct + feed_p_ppm + log_feed_ffa_pct,4,0.719488,200,5
5,feed_ffa_pct + feed_iv + feed_p_ppm,3,0.722031,200,5
6,feed_ffa_pct + feed_iv + log_feed_p_ppm,3,0.722119,200,5
7,feed_car_pv + feed_dobi + feed_ffa_pct + feed_iv + feed_mi_pct + log_feed_p_ppm,6,0.722163,300,5
8,feed_dobi + feed_ffa_pct + feed_iv + feed_mi_pct + log_feed_p_ppm,5,0.722511,300,5
9,feed_car_pv + feed_dobi + feed_ffa_pct + feed_iv + feed_mi_pct + feed_p_ppm,6,0.72252,300,5
10,feed_iv + log_feed_ffa_pct + log_feed_p_ppm,3,0.722535,200,5
11,feed_dobi + feed_ffa_pct + feed_iv + feed_mi_pct + feed_p_ppm,5,0.722771,300,5
12,feed_dobi + feed_iv + feed_mi_pct + log_feed_ffa_pct + log_feed_p_ppm,5,0.723189,300,5
13,feed_dobi + feed_iv + feed_mi_pct + feed_p_ppm + log_feed_ffa_pct,5,0.723318,300,5
14,feed_car_pv + feed_dobi + feed_iv + feed_mi_pct + log_feed_ffa_pct + log_feed_p_ppm,6,0.723432,300,5
15,feed_car_pv + feed_ffa_pct + feed_iv + feed_mi_pct + log_feed_p_ppm,5,0.723513,300,5
16,feed_car_pv + feed_ffa_pct + feed_iv + feed_mi_pct + feed_p_ppm,5,0.723603,300,5
17,feed_car_pv + feed_iv + feed_mi_pct + log_feed_ffa_pct + log_feed_p_ppm,5,0.723776,300,5
18,feed_car_pv + feed_dobi + feed_ffa_pct + feed_iv + log_feed_p_ppm,5,0.723937,200,5
19,feed_car_pv + feed_dobi + feed_ffa_pct + feed_iv + feed_p_ppm,5,0.724134,200,5
