rank,features,n_features,cv_rmse,best_n_estimators,best_max_depth
1,feed_car_pv + feed_ffa_pct + feed_iv + feed_mi_pct,4,3.708547,200,5
2,feed_car_pv + feed_ffa_pct + feed_iv,3,3.708906,100,5
3,feed_car_pv + feed_iv + log_feed_ffa_pct,3,3.715079,200,5
4,feed_car_pv + feed_iv + feed_mi_pct + log_feed_ffa_pct,4,3.715999,200,5
5,feed_ffa_pct + feed_iv + feed_mi_pct,3,3.719158,300,5
6,feed_iv + feed_mi_pct + log_feed_ffa_pct,3,3.720831,300,5
7,feed_car_pv + feed_dobi + feed_ffa_pct + feed_iv,4,3.725565,100,5
8,feed_car_pv + feed_dobi + feed_iv + log_feed_ffa_pct,4,3.731248,100,5
9,feed_car_pv + feed_dobi + feed_ffa_pct + feed_iv + feed_mi_pct,5,3.73447,200,5
10,feed_car_pv + feed_dobi + feed_iv + feed_mi_pct + log_feed_ffa_pct,5,3.742865,200,5
11,feed_ffa_pct + feed_iv,2,3.7627,200,5
12,feed_iv + log_feed_ffa_pct,2,3.771025,200,5
13,feed_dobi + feed_ffa_pct + feed_iv + feed_mi_pct,4,3.77746,500,5
14,feed_dobi + feed_iv + feed_mi_pct + log_feed_ffa_pct,4,3.780751,200,5
15,feed_dobi + feed_ffa_pct + feed_iv,3,3.815404,500,5
16,feed_dobi + feed_iv + log_feed_ffa_pct,3,3.816944,500,5
17,feed_car_pv + feed_dobi + feed_iv,3,3.988718,200,5
18,feed_car_pv + feed_dobi + feed_iv + feed_mi_pct,4,3.995676,500,5
19,feed_car_pv + feed_iv,2,4.003479,200,5
20,feed_car_pv + feed_iv + feed_mi_pct,3,4.005576,500,5
21,feed_car_pv + feed_ffa_pct,2,4.080733,100,5
22,feed_car_pv + log_feed_ffa_pct,2,4.086854,100,5
23,feed_iv + feed_mi_pct,2,4.092582,500,5
24,feed_dobi + feed_iv + feed_mi_pct,3,4.114396,500,5
25,feed_car_pv + feed_ffa_pct + feed_mi_pct,3,4.13404,100,5
26,feed_car_pv + feed_mi_pct + log_feed_ffa_pct,3,4.142061,100,5
27,feed_dobi + feed_iv,2,4.150962,500,5
28,feed_car_pv + feed_dobi + feed_ffa_pct,3,4.155165,100,5
29,feed_car_pv + feed_dobi + log_feed_ffa_pct,3,4.162529,100,5
30,feed_iv,1,4.202688,200,5
31,feed_car_pv + feed_dobi + feed_ffa_pct + feed_mi_pct,4,4.204072,100,5
32,feed_car_pv + feed_dobi + feed_mi_pct + log_feed_ffa_pct,4,4.210676,100,5
33,feed_ffa_pct + feed_mi_pct,2,4.262848,200,5
34,feed_ffa_pct,1,4.270711,300,5
35,feed_mi_pct + log_feed_ffa_pct,2,4.275044,200,5
36,log_feed_ffa_pct,1,4.282033,300,5
37,feed_dobi + feed_ffa_pct,2,4.307055,100,5
38,feed_dobi + log_feed_ffa_pct,2,4.310195,200,5
39,feed_car_pv + feed_mi_pct,2,4.353816,100,5
40,feed_car_pv,1,4.358208,100,5
41,feed_car_pv + feed_dobi + feed_mi_pct,3,4.379629,500,5
42,feed_car_pv + feed_dobi,2,4.380724,500,5
43,feed_dobi + feed_ffa_pct + feed_mi_pct,3,4.393791,200,5
44,feed_dobi + feed_mi_pct + log_feed_ffa_pct,3,4.397121,200,5
45,feed_mi_pct,1,4.448658,200,5
46,feed_dobi + feed_mi_pct,2,4.581777,500,5
47,feed_dobi,1,4.657142,100,5
